Driver_ID,Driver_Name,City_ID,Trips_Completed,Vehicle_ID,Joined_since
200001,Shivaay Dutta,5,681,1359,17-08-2020
200002,Sai Jakhar,4,2930,619,01-02-2020
200003,Siya Malik,1,1435,490,12-08-2019
200004,Yuvraj Bose,3,2854,98,06-08-2019
200005,Aryan Pathak,6,2201,1354,18-04-2020
200006,Sanjay Jakhar,6,752,391,27-07-2021
200007,Samarth Deswal,3,865,1349,09-03-2021
200008,Samarth Prasad,1,1172,846,24-01-2021
200009,Ishant Kapoor,3,2670,1311,29-02-2024
200010,Meher Yadav,6,1662,1445,26-10-2019
200011,Samarth Menon,6,613,412,16-11-2022
200012,Anika Prasad,5,890,1099,24-04-2023
200013,Aavya Punia,6,2056,189,08-06-2023
200014,Ishant Malik,3,1359,632,12-04-2022
200015,Advait Brar,2,153,1021,16-03-2020
200016,Sanjay Dagar,4,1997,507,06-08-2021
200017,Kiran Dixit,4,308,567,28-06-2024
200018,Varun Shukla,4,8,393,17-09-2022
200019,Anika Pathak,4,2590,636,31-07-2022
200020,Reyansh Bajpai,3,2146,463,24-10-2024
200021,Shaurya Kapoor,2,970,1005,01-12-2021
200022,Abhimanyu Phogat,4,509,1311,09-07-2022
200023,Diya Dahiya,1,2518,277,06-07-2023
200024,Prisha Kohli,5,2412,223,27-10-2019
200025,Hrithik Patel,1,1958,815,23-07-2024
200026,Atharv Vats,4,2387,1414,05-12-2019
200027,Manan Saxena,5,2046,1211,01-01-2022
200028,Kiran Suri,1,2240,570,03-04-2022
200029,Diya Malik,5,1517,14,02-04-2024
200030,Kabir Trivedi,3,2141,311,30-10-2019
200031,Dhruv Pathak,5,1514,1191,13-07-2023
200032,Laksh Choudhury,4,1376,1193,19-01-2024
200033,Madhav Sangwan,3,1937,691,25-03-2023
200034,Shanaya Dhillon,5,2596,466,18-06-2021
200035,Arav Bhardwaj,3,2126,1277,12-06-2022
200036,Reyansh Rathee,1,83,1314,15-08-2020
200037,Rajesh Kapoor,4,2279,576,01-12-2024
200038,Ishan Goel,1,387,511,27-09-2019
200039,Ishani Dahiya,4,1964,1040,13-09-2024
200040,Mishti Rawat,4,1855,353,06-06-2023
200041,Amit Kohli,1,1735,622,20-08-2019
200042,Rahul Sekhon,6,461,174,05-11-2021
200043,Aavya Tyagi,3,1409,478,19-02-2021
200044,Rudra Trivedi,2,1267,486,27-03-2020
200045,Vivaan Shukla,4,753,612,26-04-2024
200046,Pari Solanki,6,527,820,02-11-2024
200047,Zoya Negi,3,2906,119,15-03-2024
200048,Kyra Phogat,6,2097,1205,06-11-2019
