User_ID,User_Name,City_ID,Age,Gender,Phone_No
1,Riddhima Sangwan,6,31,Female,8820586488
2,Deepak Bahl,2,53,Male,7336802860
3,Kunal Patel,1,31,Male,9659162254
4,Ananya Tyagi,5,20,Others,9298547275
5,Shivaay Sharma,6,37,Others,6756211889
6,Agastya Chatterjee,1,22,Male,9505773343
7,Vikram Shukla,2,54,Male,8871011415
8,Zara Lamba,3,24,Others,8359133658
9,Aaryan Rao,3,40,Others,9198141815
10,Arjun Oza,4,72,Female,7571314751
11,Kiaan Grover,1,24,Male,7780107720
12,Ayush Chatterjee,6,67,Others,7438820213
13,Reyansh Rawat,6,69,Male,6375357787
14,Aavya Bahl,6,29,Male,8167073460
15,Ayaan Shukla,5,46,Male,7898628066
16,Sanjay Awasthi,2,61,Male,6438073050
17,Kiaan Tyagi,1,33,Others,6671784275
18,Zunaira Kaur,6,46,Male,6219703845
19,Ishani Sharma,4,38,Male,8788573675
20,Madhav Goel,6,45,Female,7344309712
21,Anika Dutta,6,27,Female,9707187859
22,Ishani Chaturvedi,1,39,Others,7238310721
23,Anika Randhawa,1,19,Female,7373667282
24,Kavya Banerjee,4,62,Male,6738735524
25,Jiya Shukla,2,64,Male,8964460471
26,Pari Vats,2,26,Female,7320890014
27,Laksh Yadav,3,36,Female,8791847436
28,Ananya Dagar,1,44,Male,6652935433
29,Inaya Kapoor,1,37,Female,6479272750
30,Rajesh Chauhan,1,32,Others,9997327344
31,Rudra Virk,2,63,Male,6604048601
32,Atharv Mehra,1,55,Male,7198811358
33,Nandini Kohli,3,60,Female,8165164867
34,Inaya Gupta,4,39,Female,7800910709
35,Sara Kohli,3,32,Male,7624380522
36,Advait Sangwan,3,64,Male,7954117081
37,Daksh Bajwa,2,56,Others,7009170212
38,Ayush Trivedi,2,32,Others,8858745448
39,Jiya Khan,1,18,Others,6619384117
40,Aarya Dagar,3,45,Others,6205387186
41,Kunal Deshmukh,4,62,Male,7302641929
42,Jiya Garg,3,66,Female,6447502185
43,Ishan Kulkarni,1,40,Female,9383348463
44,Anshika Kulkarni,2,33,Female,8750009332
